Player Name,PlayerID,Team,Stat,Line
RJ Barrett,barrerj01,TOR,turnovers,3.5
Austin Reaves,reaveau01,LAL,blks+stls,1.5
Anthony Davis,davisan02,LAL,blks+stls,3.5
Rui Hachimura,hachiru01,LAL,steals,0.5
LeBron James,jamesle01,LAL,blocked shots,0.5
Austin Reaves,reaveau01,LAL,rebs+asts,9
Jakob Poeltl,poeltja01,TOR,rebs+asts,13
Anthony Davis,davisan02,LAL,rebs+asts,15.5
RJ Barrett,barrerj01,TOR,rebs+asts,11
LeBron James,jamesle01,LAL,rebs+asts,16.5
Rui Hachimura,hachiru01,LAL,pts+asts,13.5
Austin Reaves,reaveau01,LAL,pts+asts,22.5
Jakob Poeltl,poeltja01,TOR,pts+asts,16.5
Anthony Davis,davisan02,LAL,pts+asts,31.5
LeBron James,jamesle01,LAL,pts+asts,33.5
Rui Hachimura,hachiru01,LAL,pts+rebs,17
Austin Reaves,reaveau01,LAL,pts+rebs,21.5
Jakob Poeltl,poeltja01,TOR,pts+rebs,22.5
Anthony Davis,davisan02,LAL,pts+rebs,41.5
RJ Barrett,barrerj01,TOR,pts+rebs,29.5
LeBron James,jamesle01,LAL,pts+rebs,32.5
Rui Hachimura,hachiru01,LAL,pts+rebs+asts,18.5
Austin Reaves,reaveau01,LAL,pts+rebs+asts,26.5
Jakob Poeltl,poeltja01,TOR,pts+rebs+asts,26.5
Anthony Davis,davisan02,LAL,pts+rebs+asts,44.5
RJ Barrett,barrerj01,TOR,pts+rebs+asts,35.5
LeBron James,jamesle01,LAL,pts+rebs+asts,41.5
Austin Reaves,reaveau01,LAL,assists,5
RJ Barrett,barrerj01,TOR,assists,5.5
LeBron James,jamesle01,LAL,assists,9
Rui Hachimura,hachiru01,LAL,rebounds,5
Anthony Davis,davisan02,LAL,rebounds,12.5
RJ Barrett,barrerj01,TOR,rebounds,5.5
LeBron James,jamesle01,LAL,rebounds,7.5
Rui Hachimura,hachiru01,LAL,points,11.5
Austin Reaves,reaveau01,LAL,points,17.5
Jakob Poeltl,poeltja01,TOR,points,12.5
Anthony Davis,davisan02,LAL,points,28.5
RJ Barrett,barrerj01,TOR,points,23.5
LeBron James,jamesle01,LAL,points,24.5
Zach Edey,edeyza01,MEM,pts+rebs+asts,19.5
Anfernee Simons,simonan01,POR,rebs+asts,8.5
Deni Avdija,avdijde01,POR,rebs+asts,8.5
Deni Avdija,avdijde01,POR,pts+asts,13.5
Jerami Grant,grantje01,POR,pts+asts,20.5
Anfernee Simons,simonan01,POR,pts+asts,25.5
Zach Edey,edeyza01,MEM,pts+rebs,17.5
Deni Avdija,avdijde01,POR,pts+rebs,16.5
Deandre Ayton,aytonde01,POR,pts+rebs,24.5
Jerami Grant,grantje01,POR,pts+rebs,21.5
Anfernee Simons,simonan01,POR,pts+rebs,22.5
Jaylen Wells,wellsja01,MEM,pts+rebs+asts,16.5
Deni Avdija,avdijde01,POR,pts+rebs+asts,19.5
Santi Aldama,aldamsa01,MEM,pts+rebs+asts,24.5
Scotty Pippen Jr.,pippesc02,MEM,pts+rebs+asts,27.5
Jerami Grant,grantje01,POR,pts+rebs+asts,23.5
Jaren Jackson Jr.,jacksja02,MEM,pts+rebs+asts,31.5
Anfernee Simons,simonan01,POR,pts+rebs+asts,28
Santi Aldama,aldamsa01,MEM,assists,3.5
Scotty Pippen Jr.,pippesc02,MEM,assists,8
Anfernee Simons,simonan01,POR,assists,5.5
Jaylen Wells,wellsja01,MEM,rebounds,3.5
Deni Avdija,avdijde01,POR,rebounds,5.5
Santi Aldama,aldamsa01,MEM,rebounds,7
Deandre Ayton,aytonde01,POR,rebounds,10
Jerami Grant,grantje01,POR,rebounds,3.5
Jaren Jackson Jr.,jacksja02,MEM,rebounds,5.5
Zach Edey,edeyza01,MEM,points,10
Jaylen Wells,wellsja01,MEM,points,11.5
Deni Avdija,avdijde01,POR,points,10.5
Santi Aldama,aldamsa01,MEM,points,12.5
Deandre Ayton,aytonde01,POR,points,14.5
