Game ID,Home Team,Away Team,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Player ID
,,,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,
202411150IND,IND,MIA,Bam Adebayo,38:45,10,17,.588,2,3,.667,8,9,.889,1,10,11,7,5,0,2,2,30,32.5,+22,adebaba01
202411150IND,IND,MIA,Tyler Herro,34:07,6,16,.375,2,9,.222,6,6,1.000,1,2,3,5,0,0,4,0,20,12.0,+2,herroty01
202411150IND,IND,MIA,Haywood Highsmith,24:49,6,6,1.000,2,2,1.000,0,0,,0,1,1,1,1,0,0,1,14,13.8,+5,highsha01
202411150IND,IND,MIA,Terry Rozier,23:11,4,9,.444,1,4,.250,1,2,.500,0,2,2,2,1,1,2,1,10,6.2,+11,roziete01
202411150IND,IND,MIA,Kevin Love,12:17,6,8,.750,3,4,.750,0,0,,1,6,7,2,4,0,0,2,15,18.9,+16,loveke01
202411150IND,IND,MIA,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,jovicni01
202411150IND,IND,MIA,Nikola JoviÄ,29:38,5,8,.625,1,4,.250,0,0,,1,5,6,1,1,0,0,2,11,10.5,+1,jaqueja01
202411150IND,IND,MIA,Jaime Jaquez Jr.,25:23,4,6,.667,0,1,.000,2,4,.500,0,3,3,5,2,0,1,2,10,11.2,+3,richajo01
202411150IND,IND,MIA,Josh Richardson,24:49,2,7,.286,2,5,.400,0,0,,0,1,1,2,1,0,1,0,6,3.6,+2,robindu01
202411150IND,IND,MIA,Duncan Robinson,23:20,2,9,.222,2,9,.222,2,2,1.000,0,1,1,2,1,0,0,2,8,4.4,+8,wareke01
202411150IND,IND,MIA,Kel'el Ware,3:39,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-5,bryanth01
202411150IND,IND,MIA,Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,burksal01
