Player,PlayerID,Age,TeamID,GP,PTS,REB,AST,STL,BLK,TOV,PF,OffREB,DefREB,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,2P,2PA,2P%,PTS_GP,REB_GP,AST_GP,STL_GP,BLK_GP,MP_GP
Shai Gilgeous-Alexander,gilgesh01,26.0,OKC,22.0,655.0,119.0,142.0,39.0,23.0,58.0,44.0,20.0,99.0,751.0,230.0,454.0,0.507,45.0,138.0,0.326,150.0,175.0,0.857,185.0,316.0,0.585,29.772727272727273,5.409090909090909,6.454545454545454,1.7727272727272727,1.0454545454545454,34.13636363636363
Giannis Antetokounmpo,antetgi01,30.0,MIL,19.0,619.0,221.0,126.0,10.0,25.0,66.0,50.0,41.0,180.0,662.0,242.0,393.0,0.616,3.0,14.0,0.214,132.0,216.0,0.611,239.0,379.0,0.631,32.578947368421055,11.631578947368421,6.631578947368421,0.5263157894736842,1.3157894736842106,34.8421052631579
De'Aaron Fox,foxde01,27.0,SAC,23.0,617.0,117.0,134.0,43.0,4.0,83.0,60.0,26.0,91.0,867.0,227.0,468.0,0.485,49.0,145.0,0.338,114.0,142.0,0.803,178.0,323.0,0.551,26.82608695652174,5.086956521739131,5.826086956521739,1.8695652173913044,0.17391304347826086,37.69565217391305
Jayson Tatum,tatumja01,26.0,BOS,21.0,597.0,181.0,118.0,28.0,12.0,62.0,51.0,10.0,171.0,764.0,192.0,423.0,0.454,83.0,222.0,0.374,130.0,162.0,0.802,109.0,201.0,0.542,28.428571428571427,8.619047619047619,5.619047619047619,1.3333333333333333,0.5714285714285714,36.38095238095238
Franz Wagner,wagnefr01,23.0,ORL,24.0,580.0,135.0,137.0,42.0,11.0,57.0,56.0,23.0,112.0,791.0,210.0,450.0,0.467,48.0,147.0,0.327,112.0,128.0,0.875,162.0,303.0,0.535,24.166666666666668,5.625,5.708333333333333,1.75,0.4583333333333333,32.958333333333336
Anthony Davis,davisan02,31.0,LAL,21.0,564.0,237.0,71.0,26.0,39.0,39.0,43.0,52.0,185.0,739.0,202.0,381.0,0.53,15.0,43.0,0.349,145.0,186.0,0.78,187.0,338.0,0.553,26.857142857142858,11.285714285714286,3.380952380952381,1.2380952380952381,1.8571428571428572,35.19047619047619
LaMelo Ball,ballla01,23.0,CHO,18.0,559.0,97.0,125.0,20.0,4.0,81.0,73.0,17.0,80.0,614.0,193.0,449.0,0.43,84.0,236.0,0.356,89.0,105.0,0.848,109.0,213.0,0.512,31.055555555555557,5.388888888888889,6.944444444444445,1.1111111111111112,0.2222222222222222,34.111111111111114
Jalen Brunson,brunsja01,28.0,NYK,22.0,553.0,62.0,166.0,14.0,1.0,49.0,53.0,10.0,52.0,743.0,188.0,381.0,0.493,57.0,133.0,0.429,120.0,141.0,0.851,131.0,248.0,0.528,25.136363636363637,2.8181818181818183,7.545454545454546,0.6363636363636364,0.045454545454545456,33.77272727272727
Anthony Edwards,edwaran01,23.0,MIN,21.0,550.0,115.0,78.0,30.0,12.0,62.0,42.0,14.0,101.0,765.0,190.0,429.0,0.443,94.0,222.0,0.423,76.0,95.0,0.8,96.0,207.0,0.464,26.19047619047619,5.476190476190476,3.7142857142857144,1.4285714285714286,0.5714285714285714,36.42857142857143
Donovan Mitchell,mitchdo01,28.0,CLE,22.0,539.0,105.0,92.0,35.0,8.0,47.0,52.0,13.0,92.0,698.0,193.0,424.0,0.455,84.0,204.0,0.412,69.0,85.0,0.812,109.0,220.0,0.495,24.5,4.7727272727272725,4.181818181818182,1.5909090909090908,0.36363636363636365,31.727272727272727
Karl-Anthony Towns,townska01,29.0,NYK,21.0,529.0,278.0,63.0,16.0,19.0,48.0,70.0,61.0,217.0,709.0,189.0,356.0,0.531,49.0,109.0,0.45,102.0,119.0,0.857,140.0,247.0,0.567,25.19047619047619,13.238095238095237,3.0,0.7619047619047619,0.9047619047619048,33.76190476190476
Devin Booker,bookede01,28.0,PHO,21.0,527.0,80.0,133.0,22.0,9.0,48.0,47.0,24.0,56.0,775.0,168.0,384.0,0.438,57.0,165.0,0.345,134.0,149.0,0.899,111.0,219.0,0.507,25.095238095238095,3.8095238095238093,6.333333333333333,1.0476190476190477,0.42857142857142855,36.904761904761905
James Harden,hardeja01,35.0,LAC,24.0,519.0,162.0,205.0,38.0,16.0,105.0,47.0,14.0,148.0,814.0,148.0,391.0,0.379,68.0,201.0,0.338,155.0,173.0,0.896,80.0,190.0,0.421,21.625,6.75,8.541666666666666,1.5833333333333333,0.6666666666666666,33.916666666666664
Nikola Jokic,jokicni01,29.0,DEN,17.0,509.0,228.0,177.0,30.0,14.0,63.0,32.0,67.0,161.0,641.0,194.0,347.0,0.559,36.0,72.0,0.5,85.0,104.0,0.817,158.0,275.0,0.575,29.941176470588236,13.411764705882353,10.411764705882353,1.7647058823529411,0.8235294117647058,37.705882352941174
Kyrie Irving,irvinky01,32.0,DAL,21.0,506.0,102.0,111.0,26.0,4.0,45.0,50.0,26.0,76.0,733.0,189.0,379.0,0.499,64.0,140.0,0.457,64.0,73.0,0.877,125.0,239.0,0.523,24.095238095238095,4.857142857142857,5.285714285714286,1.2380952380952381,0.19047619047619047,34.904761904761905
Nikola Vucevic,vucevni01,34.0,CHI,23.0,499.0,227.0,76.0,16.0,19.0,43.0,55.0,45.0,182.0,734.0,200.0,338.0,0.592,51.0,109.0,0.468,48.0,57.0,0.842,149.0,229.0,0.651,21.695652173913043,9.869565217391305,3.3043478260869565,0.6956521739130435,0.8260869565217391,31.91304347826087
LeBron James,jamesle01,40.0,LAL,22.0,490.0,174.0,199.0,14.0,10.0,90.0,25.0,21.0,153.0,763.0,187.0,381.0,0.491,41.0,120.0,0.342,75.0,99.0,0.758,146.0,261.0,0.559,22.272727272727273,7.909090909090909,9.045454545454545,0.6363636363636364,0.45454545454545453,34.68181818181818
Luka Doncic,doncilu01,25.0,DAL,17.0,487.0,136.0,134.0,31.0,7.0,56.0,47.0,11.0,125.0,622.0,171.0,380.0,0.45,57.0,168.0,0.339,88.0,117.0,0.752,114.0,212.0,0.538,28.647058823529413,8.0,7.882352941176471,1.8235294117647058,0.4117647058823529,36.588235294117645
Tyler Herro,herroty01,25.0,MIA,20.0,482.0,104.0,97.0,15.0,2.0,50.0,33.0,5.0,99.0,694.0,165.0,353.0,0.467,86.0,205.0,0.42,66.0,77.0,0.857,79.0,148.0,0.534,24.1,5.2,4.85,0.75,0.1,34.7
Jalen Williams,willija06,23.0,OKC,22.0,478.0,134.0,111.0,45.0,19.0,45.0,60.0,19.0,115.0,697.0,186.0,364.0,0.511,44.0,113.0,0.389,62.0,76.0,0.816,142.0,251.0,0.566,21.727272727272727,6.090909090909091,5.045454545454546,2.0454545454545454,0.8636363636363636,31.681818181818183
Cade Cunningham,cunnica01,23.0,DET,20.0,473.0,143.0,182.0,18.0,16.0,95.0,53.0,22.0,121.0,718.0,179.0,396.0,0.452,48.0,127.0,0.378,67.0,86.0,0.779,131.0,269.0,0.487,23.65,7.15,9.1,0.9,0.8,35.9
RJ Barrett,barrerj01,24.0,TOR,20.0,472.0,134.0,119.0,15.0,6.0,67.0,50.0,18.0,116.0,689.0,170.0,373.0,0.456,40.0,117.0,0.342,92.0,129.0,0.713,130.0,256.0,0.508,23.6,6.7,5.95,0.75,0.3,34.45
Damian Lillard,lillada01,34.0,MIL,18.0,467.0,80.0,135.0,17.0,4.0,52.0,32.0,10.0,70.0,645.0,144.0,319.0,0.451,63.0,167.0,0.377,116.0,126.0,0.921,81.0,152.0,0.533,25.944444444444443,4.444444444444445,7.5,0.9444444444444444,0.2222222222222222,35.833333333333336
Pascal Siakam,siakapa01,30.0,IND,23.0,463.0,146.0,84.0,21.0,6.0,34.0,69.0,41.0,105.0,790.0,179.0,337.0,0.531,41.0,100.0,0.41,64.0,82.0,0.78,138.0,237.0,0.582,20.130434782608695,6.3478260869565215,3.652173913043478,0.9130434782608695,0.2608695652173913,34.34782608695652
Jaren Jackson Jr.,jacksja02,25.0,MEM,21.0,456.0,121.0,27.0,29.0,36.0,48.0,68.0,28.0,93.0,594.0,162.0,316.0,0.513,36.0,108.0,0.333,96.0,115.0,0.835,126.0,208.0,0.606,21.714285714285715,5.761904761904762,1.2857142857142858,1.380952380952381,1.7142857142857142,28.285714285714285
Trae Young,youngtr01,26.0,ATL,22.0,456.0,85.0,263.0,27.0,3.0,104.0,48.0,14.0,71.0,786.0,139.0,362.0,0.384,56.0,183.0,0.306,122.0,137.0,0.891,83.0,179.0,0.464,20.727272727272727,3.8636363636363638,11.954545454545455,1.2272727272727273,0.13636363636363635,35.72727272727273
Darius Garland,garlada01,25.0,CLE,22.0,451.0,51.0,145.0,23.0,5.0,50.0,57.0,11.0,40.0,663.0,162.0,330.0,0.491,66.0,150.0,0.44,61.0,64.0,0.953,96.0,180.0,0.533,20.5,2.3181818181818183,6.590909090909091,1.0454545454545454,0.22727272727272727,30.136363636363637
Jalen Johnson,johnsja05,23.0,ATL,22.0,443.0,218.0,120.0,30.0,25.0,71.0,43.0,38.0,180.0,801.0,177.0,348.0,0.509,36.0,100.0,0.36,53.0,70.0,0.757,141.0,248.0,0.569,20.136363636363637,9.909090909090908,5.454545454545454,1.3636363636363635,1.1363636363636365,36.40909090909091
Julius Randle,randlju01,30.0,MIN,21.0,440.0,140.0,85.0,17.0,1.0,57.0,54.0,35.0,105.0,702.0,152.0,304.0,0.5,36.0,101.0,0.356,100.0,123.0,0.813,116.0,203.0,0.571,20.952380952380953,6.666666666666667,4.0476190476190474,0.8095238095238095,0.047619047619047616,33.42857142857143
Jalen Green,greenja05,22.0,HOU,23.0,438.0,109.0,62.0,25.0,7.0,60.0,41.0,13.0,96.0,746.0,147.0,371.0,0.396,57.0,176.0,0.324,87.0,101.0,0.861,90.0,195.0,0.462,19.043478260869566,4.739130434782608,2.6956521739130435,1.0869565217391304,0.30434782608695654,32.43478260869565
Domantas Sabonis,sabondo01,28.0,SAC,21.0,437.0,265.0,132.0,15.0,9.0,73.0,78.0,68.0,197.0,764.0,168.0,269.0,0.625,22.0,53.0,0.415,79.0,98.0,0.806,146.0,216.0,0.676,20.80952380952381,12.619047619047619,6.285714285714286,0.7142857142857143,0.42857142857142855,36.38095238095238
Alperen Sengun,sengual01,22.0,HOU,23.0,434.0,244.0,122.0,27.0,26.0,48.0,62.0,79.0,165.0,708.0,168.0,355.0,0.473,9.0,34.0,0.265,89.0,116.0,0.767,159.0,321.0,0.495,18.869565217391305,10.608695652173912,5.304347826086956,1.173913043478261,1.1304347826086956,30.782608695652176
Jaylen Brown,brownja02,28.0,BOS,17.0,428.0,108.0,78.0,20.0,6.0,43.0,45.0,26.0,82.0,617.0,145.0,336.0,0.432,44.0,132.0,0.333,94.0,123.0,0.764,101.0,204.0,0.495,25.176470588235293,6.352941176470588,4.588235294117647,1.1764705882352942,0.35294117647058826,36.294117647058826
Zach LaVine,lavinza01,29.0,CHI,20.0,425.0,90.0,87.0,15.0,6.0,53.0,37.0,5.0,85.0,668.0,155.0,307.0,0.505,62.0,146.0,0.425,53.0,65.0,0.815,93.0,161.0,0.578,21.25,4.5,4.35,0.75,0.3,33.4
Victor Wembanyama,wembavi01,21.0,SAS,18.0,423.0,187.0,68.0,23.0,61.0,65.0,39.0,38.0,149.0,585.0,156.0,328.0,0.476,56.0,166.0,0.337,55.0,64.0,0.859,100.0,162.0,0.617,23.5,10.38888888888889,3.7777777777777777,1.2777777777777777,3.388888888888889,32.5
