PlayerID,Player,Team,TeamID
adamsst01,Steven Adams,Houston Rockets,HOU
adebaba01,Bam Adebayo,Miami Heat,MIA
agbajoc01,Ochai Agbaji,Toronto Raptors,TOR
aldamsa01,Santi Aldama,Memphis Grizzlies,MEM
alexani01,Nickeil Alexander-Walker,Minnesota Timberwolves,MIN
alexatr01,Trey Alexander,Denver Nuggets,DEN
allengr01,Grayson Allen,Phoenix Suns,PHO
allenja01,Jarrett Allen,Cleveland Cavaliers,CLE
alvarjo01,Jose Alvarado,New Orleans Pelicans,NOP
anderky01,Kyle Anderson,Golden State Warriors,GSW
antetgi01,Giannis Antetokounmpo,Milwaukee Bucks,MIL
anthoco01,Cole Anthony,Orlando Magic,ORL
anunoog01,OG Anunoby,New York Knicks,NYK
armeltr01,Armel Traore,Los Angeles Lakers,LAL
avdijde01,Deni Avdija,Portland Trail Blazers,POR
aytonde01,Deandre Ayton,Portland Trail Blazers,POR
baglema01,Marvin Bagley III,Washington Wizards,WAS
baldwpa01,Patrick Baldwin Jr.,Washington Wizards,WAS
ballla01,LaMelo Ball,Charlotte Hornets,CHO
balllo01,Lonzo Ball,Chicago Bulls,CHI
bambamo01,Mo Bamba,Los Angeles Clippers,LAC
banchpa01,Paolo Banchero,Orlando Magic,ORL
banede01,Desmond Bane,Memphis Grizzlies,MEM
bantoda01,Dalano Banton,Portland Trail Blazers,POR
barlodo01,Dominick Barlow,Atlanta Hawks,ATL
barneha02,Harrison Barnes,San Antonio Spurs,SAS
barnesc01,Scottie Barnes,Toronto Raptors,TOR
barrerj01,RJ Barrett,Toronto Raptors,TOR
bassech01,Charles Bassey,San Antonio Spurs,SAS
battlja01,Jamison Battle,Toronto Raptors,TOR
batumni01,Nicolas Batum,Los Angeles Clippers,LAC
bealbr01,Bradley Beal,Phoenix Suns,PHO
beaslma01,Malik Beasley,Detroit Pistons,DET
beaucma01,MarJon Beauchamp,Milwaukee Bucks,MIL
beekmre01,Reece Beekman,Golden State Warriors,GSW
bitadgo01,Goga Bitadze,Orlando Magic,ORL
blackan01,Anthony Black,Orlando Magic,ORL
bogdabo01,Bogdan Bogdanovic,Atlanta Hawks,ATL
bolbo01,Bol Bol,Phoenix Suns,PHO
bonaad01,Adem Bona,Philadelphia 76ers,PHI
bookede01,Devin Booker,Phoenix Suns,PHO
bostobr01,Brandon Boston,New Orleans Pelicans,NOP
bouchch01,Chris Boucher,Toronto Raptors,TOR
branhma01,Malaki Branham,San Antonio Spurs,SAS
braunch01,Christian Braun,Denver Nuggets,DEN
bridgja01,Jalen Bridges,Phoenix Suns,PHO
bridgmi01,Mikal Bridges,New York Knicks,NYK
bridgmi02,Miles Bridges,Charlotte Hornets,CHO
brogdma01,Malcolm Brogdon,Washington Wizards,WAS
brookdi01,Dillon Brooks,Houston Rockets,HOU
brownja02,Jaylen Brown,Boston Celtics,BOS
brownko01,Kobe Brown,Los Angeles Clippers,LAC
