Conference,Rk,TeamID,Team,GP,W,L,GB,PTS,REB,AST,STL,BLK,TOV,OffREB,DefREB,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PF
Eastern,1,CLE,Cleveland Cavaliers,22,19,3,0,2680,947,617,201,108,291,198,749,994,1952,50.9,336,836,40.2,658,1116,59,356,456,78.1,410
Eastern,2,BOS,Boston Celtics,22,18,4,1,2651,965,564,166,122,264,229,736,917,1993,46,421,1121,37.6,496,872,56.9,396,489,81,368
Eastern,3,ORL,Orlando Magic,24,16,8,4,2589,1013,587,230,166,357,259,754,926,2047,45.2,282,905,31.2,644,1142,56.4,455,576,79,480
Eastern,4,NYK,New York Knicks,21,13,8,5.5,2477,894,586,149,87,272,200,694,919,1848,49.7,301,762,39.5,618,1086,56.9,338,402,84.1,379
Eastern,5,ATL,Atlanta Hawks,23,12,11,7.5,2682,1056,684,235,124,377,286,770,984,2120,46.4,282,824,34.2,702,1296,54.2,432,548,78.8,434
Eastern,6,MIL,Milwaukee Bucks,21,11,10,7.5,2385,906,504,152,121,297,175,731,864,1792,48.2,307,786,39.1,557,1006,55.4,350,483,72.5,394
Eastern,7,MIA,Miami Heat,20,10,10,8,2226,870,525,185,72,256,206,664,790,1768,44.7,301,793,38,489,975,50.2,345,445,77.5,325
Eastern,8,BRK,Brooklyn Nets,23,10,13,9.5,2529,882,595,158,88,338,195,687,890,1935,46,350,916,38.2,540,1019,53,399,497,80.3,513
Eastern,9,CHI,Chicago Bulls,22,9,13,10,2616,981,636,156,102,340,198,783,953,1999,47.7,361,947,38.1,592,1052,56.3,349,441,79.1,402
Eastern,10,IND,Indiana Pacers,23,9,14,10.5,2609,918,621,192,118,347,202,716,967,2006,48.2,280,765,36.6,687,1241,55.4,395,504,78.4,473
Eastern,11,DET,Detroit Pistons,24,9,15,11,2643,1091,605,150,133,398,273,818,972,2106,46.2,315,881,35.8,657,1225,53.6,384,504,76.2,481
Eastern,12,TOR,Toronto Raptors,22,7,15,12,2490,1016,630,171,105,363,297,719,937,1997,46.9,242,705,34.3,695,1292,53.8,374,511,73.2,502
Eastern,13,CHO,Charlotte Hornets,21,6,15,12.5,2254,962,480,166,106,342,282,680,806,1897,42.5,337,928,36.3,469,969,48.4,305,388,78.6,442
Eastern,14,PHI,Philadelphia 76ers,20,5,15,13,2104,788,431,186,84,288,214,574,752,1721,43.7,238,730,32.6,514,991,51.9,362,467,77.5,420
Eastern,15,WAS,Washington Wizards,19,2,17,15.5,2033,807,460,148,104,305,181,626,749,1701,44,211,676,31.2,538,1025,52.5,324,416,77.9,416
Western,1,OKC,Oklahoma City Thunder,21,16,5,0,2413,898,540,250,134,243,216,682,897,1942,46.2,287,831,34.5,610,1111,54.9,332,413,80.4,446
Western,2,HOU,Houston Rockets,22,15,7,1.5,2517,1103,497,196,123,294,317,786,920,2090,44,262,791,33.1,658,1299,50.7,415,542,76.6,456
Western,3,DAL,Dallas Mavericks,22,14,8,2.5,2597,993,568,181,116,306,253,740,961,1979,48.6,282,769,36.7,679,1210,56.1,393,512,76.8,455
Western,4,MEM,Memphis Grizzlies,22,14,8,2.5,2671,1044,671,190,154,370,271,773,988,2028,48.7,286,820,34.9,702,1208,58.1,409,528,77.5,472
Western,5,LAC,Los Angeles Clippers,24,14,10,3.5,2611,1083,594,223,104,402,277,806,955,2060,46.4,302,810,37.3,653,1250,52.2,399,513,77.8,448
Western,6,PHO,Phoenix Suns,20,12,8,3.5,2254,869,532,151,100,277,182,687,799,1710,46.7,297,793,37.5,502,917,54.7,359,461,77.9,364
Western,7,GSW,Golden State Warriors,20,12,8,3.5,2322,979,604,184,107,286,266,713,851,1861,45.7,313,839,37.3,538,1022,52.6,307,437,70.3,428
Western,8,LAL,Los Angeles Lakers,22,12,10,4.5,2452,886,583,164,96,285,202,684,892,1886,47.3,252,730,34.5,640,1156,55.4,416,533,78,348
Western,9,DEN,Denver Nuggets,19,11,8,4,2243,839,577,162,90,269,212,627,821,1689,48.6,234,596,39.3,587,1093,53.7,367,482,76.1,349
Western,10,SAS,San Antonio Spurs,21,11,10,5,2315,937,589,159,135,317,226,711,826,1817,45.5,297,851,34.9,529,966,54.8,366,454,80.6,342
Western,11,MIN,Minnesota Timberwolves,21,11,10,5,2329,885,523,179,96,336,197,688,830,1782,46.6,317,850,37.3,513,932,55,352,445,79.1,396
Western,12,SAC,Sacramento Kings,22,10,12,6.5,2519,946,555,176,108,308,217,729,932,1932,48.2,256,760,33.7,676,1172,57.7,399,506,78.9,446
Western,13,POR,Portland Trail Blazers,22,8,14,8.5,2357,948,490,194,134,376,293,655,863,1970,43.8,259,765,33.9,604,1205,50.1,372,486,76.5,431
Western,14,UTA,Utah Jazz,21,4,17,12,2273,928,506,146,98,389,256,672,808,1789,45.2,267,780,34.2,541,1009,53.6,390,498,78.3,393
Western,15,NOP,New Orleans Pelicans,22,4,18,12.5,2273,954,521,198,118,336,283,671,849,1959,43.3,233,717,32.5,616,1242,49.6,342,454,75.3,381
