Season,Date,Game,GameID,Home,HomeID,PTS,Away,AwayID,PTSA
2024-25,11/8/2024,BOS vs BRK,202411080BOS,Boston Celtics,BOS,108,Brooklyn Nets,BRK,104
2024-25,11/8/2024,CHO vs IND,202411080CHO,Charlotte Hornets,CHO,103,Indiana Pacers,IND,83
2024-25,11/8/2024,CLE vs GSW,202411080CLE,Cleveland Cavaliers,CLE,136,Golden State Warriors,GSW,117
2024-25,11/8/2024,DAL vs PHO,202411080DAL,Dallas Mavericks,DAL,113,Phoenix Suns,PHO,114
2024-25,11/8/2024,DEN vs MIA,202411080DEN,Denver Nuggets,DEN,135,Miami Heat,MIA,122
2024-25,11/8/2024,DET vs ATL,202411080DET,Detroit Pistons,DET,122,Atlanta Hawks,ATL,121
2024-25,11/8/2024,LAL vs PHI,202411080LAL,Los Angeles Lakers,LAL,116,Philadelphia 76ers,PHI,106
2024-25,11/8/2024,MEM vs WAS,202411080MEM,Memphis Grizzlies,MEM,128,Washington Wizards,WAS,104
2024-25,11/8/2024,MIN vs POR,202411080MIN,Minnesota Timberwolves,MIN,127,Portland Trail Blazers,POR,102
2024-25,11/8/2024,NYK vs MIL,202411080NYK,New York Knicks,NYK,116,Milwaukee Bucks,MIL,94
2024-25,11/8/2024,OKC vs HOU,202411080OKC,Oklahoma City Thunder,OKC,126,Houston Rockets,HOU,107
2024-25,11/8/2024,ORL vs NOP,202411080ORL,Orlando Magic,ORL,115,New Orleans Pelicans,NOP,88
2024-25,11/8/2024,SAC vs LAC,202411080SAC,Sacramento Kings,SAC,98,Los Angeles Clippers,LAC,107
2024-25,11/7/2024,CHI vs MIN,202411070CHI,Chicago Bulls,CHI,119,Minnesota Timberwolves,MIN,135
2024-25,11/7/2024,MIL vs UTA,202411070MIL,Milwaukee Bucks,MIL,123,Utah Jazz,UTA,100
2024-25,11/7/2024,SAS vs POR,202411070SAS,San Antonio Spurs,SAS,118,Portland Trail Blazers,POR,105
2024-25,11/6/2024,ATL vs NYK,202411060ATL,Atlanta Hawks,ATL,121,New York Knicks,NYK,116
2024-25,11/6/2024,BOS vs GSW,202411060BOS,Boston Celtics,BOS,112,Golden State Warriors,GSW,118
2024-25,11/6/2024,CHO vs DET,202411060CHO,Charlotte Hornets,CHO,108,Detroit Pistons,DET,107
2024-25,11/6/2024,DAL vs CHI,202411060DAL,Dallas Mavericks,DAL,119,Chicago Bulls,CHI,99
2024-25,11/6/2024,DEN vs OKC,202411060DEN,Denver Nuggets,DEN,124,Oklahoma City Thunder,OKC,122
2024-25,11/6/2024,HOU vs SAS,202411060HOU,Houston Rockets,HOU,127,San Antonio Spurs,SAS,100
2024-25,11/6/2024,IND vs ORL,202411060IND,Indiana Pacers,IND,118,Orlando Magic,ORL,111
2024-25,11/6/2024,LAC vs PHI,202411060LAC,Los Angeles Clippers,LAC,110,Philadelphia 76ers,PHI,98
