Season,GameID,Date,Game,Player,PlayerID,Team,TeamID,Is_Home,Opp,PTS,REB,AST,STL,BLK,TOV,MP,OffREB,DefREB,FG,FGA,3P,3PA,FT,FTA,PF
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Derrick White,whitede01,Boston Celtics,BOS,1,BRK,14,3,6,0,3,3,42.51666667,1,2,5,11,1,6,3,4,3
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Jayson Tatum,tatumja01,Boston Celtics,BOS,1,BRK,33,9,6,2,1,3,42.35,0,9,11,25,5,13,6,7,3
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Jrue Holiday,holidjr01,Boston Celtics,BOS,1,BRK,17,2,5,0,0,3,36.93333333,0,2,8,14,0,4,1,1,0
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Al Horford,horfoal01,Boston Celtics,BOS,1,BRK,13,10,0,1,1,1,31.38333333,1,9,5,12,3,9,0,0,2
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Xavier Tillman Sr.,tillmxa01,Boston Celtics,BOS,1,BRK,0,0,0,0,0,0,5.866666667,0,0,0,3,0,3,0,0,0
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Sam Hauser,hausesa01,Boston Celtics,BOS,1,BRK,8,4,3,3,0,0,35.21666667,1,3,3,11,2,10,0,0,1
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Payton Pritchard,pritcpa01,Boston Celtics,BOS,1,BRK,20,1,0,1,0,1,33.63333333,0,1,6,11,3,7,5,5,2
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Neemias Queta,quetane01,Boston Celtics,BOS,1,BRK,3,10,2,0,3,2,26.55,1,9,1,2,0,0,1,2,2
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Jordan Walsh,walshjo01,Boston Celtics,BOS,1,BRK,0,0,1,0,1,0,10.53333333,0,0,0,1,0,1,0,0,2
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Cameron Johnson,johnsca02,Brooklyn Nets,BRK,0,BOS,18,8,4,0,0,0,39.58333333,2,6,6,13,3,8,3,3,2
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Cam Thomas,thomaca02,Brooklyn Nets,BRK,0,BOS,31,3,1,1,0,2,38,0,3,11,22,4,9,5,7,5
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Dennis Schroder,schrode01,Brooklyn Nets,BRK,0,BOS,20,3,3,4,0,4,37.46666667,0,3,9,23,2,8,0,0,2
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Dorian Finney-Smith,finnedo01,Brooklyn Nets,BRK,0,BOS,5,5,2,0,1,1,31.08333333,2,3,2,6,1,3,0,0,5
2024-25,202411080BOS,11/8/2024,BOS vs BRK,Nic Claxton,claxtni01,Brooklyn Nets,BRK,0,BOS,2,10,3,0,2,0,28,1,9,1,3,0,0,0,0,1
