Season,GameID,Date,Game,Player,PlayerID,Gm#,Team,Is_Home,Opp,PTS,REB,AST,STL,BLK,TOV,MP,OffREB,DefREB,FG,FGA,3P,3PA,FT,FTA,PF,BLK_STL,REB_AST,PTS_AST,PTS_REB,PTS_REB_AST,FANTASY
2024-25,202411090CLE,11/9/2024,CLE vs BRK,Jalen Wilson,wilsoja03,53,BRK,0,CLE,2,3,1,0,0,2,10.01666667,2,1,1,3,0,2,0,0,1,0,4,3,5,6,5.1
2024-25,202411090CLE,11/9/2024,CLE vs BRK,Keon Johnson,johnske07,14,BRK,0,CLE,6,4,2,0,0,3,12.23333333,1,3,2,7,2,6,0,0,0,0,6,8,10,12,10.8
2024-25,202411090ATL,11/9/2024,ATL vs CHI,Larry Nance Jr.,nancela02,67,ATL,1,CHI,6,2,2,0,0,0,13.88333333,0,2,2,3,1,1,1,2,4,0,4,8,8,10,11.4
2024-25,202411090LAC,11/9/2024,LAC vs TOR,Jamison Battle,battlja01,9,TOR,0,LAC,3,2,1,0,0,0,13.95,0,2,1,5,1,5,0,0,2,0,3,4,5,6,6.9
2024-25,202411090ATL,11/9/2024,ATL vs CHI,Julian Phillips,phillju01,50,CHI,0,ATL,10,4,0,2,1,0,14.15,4,0,4,8,2,3,0,0,2,3,4,10,14,14,23.8
2024-25,202411090CLE,11/9/2024,CLE vs BRK,Noah Clowney,clownno01,31,BRK,0,CLE,2,3,1,2,1,1,14.35,0,3,1,3,0,2,0,0,2,3,4,3,5,6,15.1
2024-25,202411090ATL,11/9/2024,ATL vs CHI,Dalen Terry,terryda01,69,CHI,0,ATL,9,4,1,0,1,0,14.36666667,2,2,2,4,1,3,4,4,1,1,5,10,13,14,18.3
2024-25,202411090SAS,11/9/2024,SAS vs UTA,Patty Mills,millspa02,41,UTA,0,SAS,5,1,0,0,0,2,14.46666667,0,1,2,3,1,2,0,0,1,0,1,5,6,6,4.2
2024-25,202411090CLE,11/9/2024,CLE vs BRK,Georges Niang,niangge01,93,CLE,1,BRK,8,2,1,0,1,1,14.71666667,0,2,4,6,0,1,0,0,3,1,3,9,10,11,13.9
2024-25,202411090CLE,11/9/2024,CLE vs BRK,Isaac Okoro,okorois01,80,CLE,1,BRK,3,1,1,0,0,0,14.91666667,0,1,1,5,0,3,1,2,1,0,2,4,4,5,5.7
2024-25,202411090SAS,11/9/2024,SAS vs UTA,Zach Collins,colliza01,79,SAS,1,UTA,5,3,4,1,0,0,15.31666667,1,2,2,5,1,1,0,0,4,1,7,9,8,12,17.6
