Player,PlayerID,Age,TeamID,GP,PTS,REB,AST,STL,BLK,TOV,PF,OffREB,DefREB,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,2P,2PA,2P%,PTS_GP,REB_GP,AST_GP,STL_GP,BLK_GP,MP_GP
Shai Gilgeous-Alexander,gilgesh01,26,OKC,21,625,115,137,37,21,56,42,20,95,721,219,432,50.7,44,128,34.4,143,167,85.6,175,304,57.6,29.76190476,5.476190476,6.523809524,1.761904762,1,34.33333333
Giannis Antetokounmpo,antetgi01,30,MIL,19,619,221,126,10,25,66,50,41,180,662,242,393,61.6,3,14,21.4,132,216,61.1,239,379,63.1,32.57894737,11.63157895,6.631578947,0.526315789,1.315789474,34.84210526
De'Aaron Fox,foxde01,27,SAC,22,599,111,131,37,4,79,58,24,87,829,219,445,49.2,49,138,35.5,112,139,80.6,170,307,55.4,27.22727273,5.045454545,5.954545455,1.681818182,0.181818182,37.68181818
Jayson Tatum,tatumja01,26,BOS,21,597,181,118,28,12,62,51,10,171,764,192,423,45.4,83,222,37.4,130,162,80.2,109,201,54.2,28.42857143,8.619047619,5.619047619,1.333333333,0.571428571,36.38095238
Franz Wagner,wagnefr01,23,ORL,24,580,135,137,42,11,57,56,23,112,791,210,450,46.7,48,147,32.7,112,128,87.5,162,303,53.5,24.16666667,5.625,5.708333333,1.75,0.458333333,32.95833333
Anthony Davis,davisan02,31,LAL,21,564,237,71,26,39,39,43,52,185,739,202,381,53,15,43,34.9,145,186,78,187,338,55.3,26.85714286,11.28571429,3.380952381,1.238095238,1.857142857,35.19047619
LaMelo Ball,ballla01,23,CHO,18,559,97,125,20,4,81,73,17,80,614,193,449,43,84,236,35.6,89,105,84.8,109,213,51.2,31.05555556,5.388888889,6.944444444,1.111111111,0.222222222,34.11111111
Anthony Edwards,edwaran01,23,MIN,21,550,115,78,30,12,62,42,14,101,765,190,429,44.3,94,222,42.3,76,95,80,96,207,46.4,26.19047619,5.476190476,3.714285714,1.428571429,0.571428571,36.42857143
Jalen Brunson,brunsja01,28,NYK,21,529,61,161,13,1,49,52,10,51,716,182,373,48.8,52,127,40.9,113,133,85,130,246,52.8,25.19047619,2.904761905,7.666666667,0.619047619,0.047619048,34.0952381
James Harden,hardeja01,35,LAC,24,519,162,205,38,16,105,47,14,148,814,148,391,37.9,68,201,33.8,155,173,89.6,80,190,42.1,21.625,6.75,8.541666667,1.583333333,0.666666667,33.91666667
Donovan Mitchell,mitchdo01,28,CLE,21,511,102,86,33,6,42,48,12,90,665,182,400,45.5,78,194,40.2,69,85,81.2,104,206,50.5,24.33333333,4.857142857,4.095238095,1.571428571,0.285714286,31.66666667
Karl-Anthony Towns,townska01,29,NYK,20,502,262,61,16,17,46,66,58,204,669,180,341,52.8,47,104,45.2,95,110,86.4,133,237,56.1,25.1,13.1,3.05,0.8,0.85,33.45
Devin Booker,bookede01,28,PHO,20,499,76,131,21,9,45,46,23,53,738,162,364,44.5,54,155,34.8,121,135,89.6,108,209,51.7,24.95,3.8,6.55,1.05,0.45,36.9
LeBron James,jamesle01,40,LAL,22,490,174,199,14,10,90,25,21,153,763,187,381,49.1,41,120,34.2,75,99,75.8,146,261,55.9,22.27272727,7.909090909,9.045454545,0.636363636,0.454545455,34.68181818
Tyler Herro,herroty01,25,MIA,20,482,104,97,15,2,50,33,5,99,694,165,353,46.7,86,205,42,66,77,85.7,79,148,53.4,24.1,5.2,4.85,0.75,0.1,34.7
Nikola Jokic,jokicni01,29,DEN,16,482,208,166,27,14,60,29,64,144,602,181,321,56.4,36,69,52.2,84,103,81.6,145,252,57.5,30.125,13,10.375,1.6875,0.875,37.625
Kyrie Irving,irvinky01,32,DAL,20,481,98,108,24,4,43,47,25,73,709,179,363,49.3,61,135,45.2,62,70,88.6,118,228,51.8,24.05,4.9,5.4,1.2,0.2,35.45
Cade Cunningham,cunnica01,23,DET,20,473,143,182,18,16,95,53,22,121,718,179,396,45.2,48,127,37.8,67,86,77.9,131,269,48.7,23.65,7.15,9.1,0.9,0.8,35.9
Damian Lillard,lillada01,34,MIL,18,467,80,135,17,4,52,32,10,70,645,144,319,45.1,63,167,37.7,116,126,92.1,81,152,53.3,25.94444444,4.444444444,7.5,0.944444444,0.222222222,35.83333333
Luka Doncic,doncilu01,25,DAL,16,466,126,124,29,6,52,45,11,115,590,164,363,45.2,54,158,34.2,84,112,75,110,205,53.7,29.125,7.875,7.75,1.8125,0.375,36.875
Pascal Siakam,siakapa01,30,IND,23,463,146,84,21,6,34,69,41,105,790,179,337,53.1,41,100,41,64,82,78,138,237,58.2,20.13043478,6.347826087,3.652173913,0.913043478,0.260869565,34.34782609
Nikola Vucevic,vucevni01,34,CHI,22,460,219,71,15,19,40,52,43,176,699,184,316,58.2,49,103,47.6,43,51,84.3,135,213,63.4,20.90909091,9.954545455,3.227272727,0.681818182,0.863636364,31.77272727
Jalen Williams,willija06,23,OKC,21,458,127,109,45,19,45,59,19,108,668,180,351,51.3,42,109,38.5,56,70,80,138,242,57,21.80952381,6.047619048,5.19047619,2.142857143,0.904761905,31.80952381
Trae Young,youngtr01,26,ATL,22,456,85,263,27,3,104,48,14,71,786,139,362,38.4,56,183,30.6,122,137,89.1,83,179,46.4,20.72727273,3.863636364,11.95454545,1.227272727,0.136363636,35.72727273
RJ Barrett,barrerj01,24,TOR,19,455,123,117,15,5,66,48,18,105,658,165,357,46.2,39,110,35.5,86,123,69.9,126,247,51,23.94736842,6.473684211,6.157894737,0.789473684,0.263157895,34.63157895
Jalen Johnson,johnsja05,23,ATL,22,443,218,120,30,25,71,43,38,180,801,177,348,50.9,36,100,36,53,70,75.7,141,248,56.9,20.13636364,9.909090909,5.454545455,1.363636364,1.136363636,36.40909091
Jaren Jackson Jr.,jacksja02,25,MEM,20,441,119,25,27,36,44,65,28,91,569,157,307,51.1,36,107,33.6,91,110,82.7,121,200,60.5,22.05,5.95,1.25,1.35,1.8,28.45
