Player,PlayerID,Team,Stat,Line,Type,,,Name,Key,,
Kris Dunn,dunnkr01,LAC,AST,2.5,Norm.,,,FANTASY,fantasy score,,
Kris Dunn,dunnkr01,LAC,PTS,5.5,Norm.,,,PTS,points,,
Kevin Porter Jr.,porteke02,LAC,PTS_AST,13.5,Norm.,,,PTS_AST,pts+asts,,
Kevin Porter Jr.,porteke02,LAC,PTS_REB,13.5,Norm.,,,PTS_REB,pts+rebs,,
Kevin Porter Jr.,porteke02,LAC,AST,2.5,Norm.,,,PTS_REB_AST,pts+rebs+asts,,
Kevin Porter Jr.,porteke02,LAC,PTS_REB_AST,16,Norm.,,,REB_AST,rebs+asts,,
Kevin Porter Jr.,porteke02,LAC,PTS,9.5,Norm.,,,STL,steals,,
Immanuel Quickley,quickim01,TOR,REB_AST,8.5,Norm.,,,3PA,3-PT Attempted,,
Immanuel Quickley,quickim01,TOR,PTS_AST,21.5,Norm.,,,3P,3-PT Made,,
Immanuel Quickley,quickim01,TOR,PTS_REB,19.5,Norm.,,,AST,assists,,
Immanuel Quickley,quickim01,TOR,AST,5,Norm.,,,REB,rebounds,,
Immanuel Quickley,quickim01,TOR,PTS_REB_AST,24.5,Norm.,,,BLK,blocked shots,,
Immanuel Quickley,quickim01,TOR,PTS,16.5,Norm.,,,TOV,turnovers,,
Amir Coffey,coffeam01,LAC,PTS_AST,10,Norm.,,,FT,free throws made,,
Amir Coffey,coffeam01,LAC,PTS,8.5,Norm.,,,FGA,fg attempted,,
Jakob Poeltl,poeltja01,TOR,DefREB,7,Norm.,,,DefREB,defensive rebounds,,
Ivica Zubac,zubaciv01,LAC,DefREB,8.5,Norm.,,,OffREB,offensive rebounds,,
Jakob Poeltl,poeltja01,TOR,OffREB,3.5,Norm.,,,BLK_STL,blks+stls,,
Ivica Zubac,zubaciv01,LAC,OffREB,4,Norm.,,,,,,
Gradey Dick,dickgr01,TOR,OffREB,0.5,Norm.,,,,,,
RJ Barrett,barrerj01,TOR,FGA,18.5,Norm.,,,,,,
Norman Powell,powelno01,LAC,FGA,16.5,Norm.,,,,,,
James Harden,hardeja01,LAC,FGA,16,Norm.,,,,,,
Jakob Poeltl,poeltja01,TOR,FGA,10,Norm.,,,,,,
Ivica Zubac,zubaciv01,LAC,FGA,10.5,Norm.,,,,,,
Gradey Dick,dickgr01,TOR,FGA,14,Norm.,,,,,,
RJ Barrett,barrerj01,TOR,FT,4.5,Norm.,,,,,,
Norman Powell,powelno01,LAC,FT,4,Norm.,,,,,,
James Harden,hardeja01,LAC,FT,6,Norm.,,,,,,
