description,line_score,odds_type,stat_display_name,player_id
HOU,20.5,standard,Points,216422
MIA,55,standard,Fantasy Score,187995
MIL,22.5,standard,Fantasy Score,185772
MIL,38,standard,Fantasy Score,1646
MIL,35.5,standard,Fantasy Score,10776
MIA,15.5,standard,Fantasy Score,217105
MIA,39,standard,Fantasy Score,187998
MIA,27.5,standard,Fantasy Score,1683
MIL,36,standard,Fantasy Score,1654
CHI/WAS,46,standard,Points (Combo),220338
MIL/MIA,51,standard,Points (Combo),220340
MIL/MIA,22,standard,Rebounds (Combo),187716
MIL/MIA,12,standard,Assists (Combo),187717
MIL/MIA,6.5,standard,3-PT Made (Combo),187717
HOU/MIN,46.5,standard,Points (Combo),193149
HOU/MIN,11,standard,Assists (Combo),183560
HOU/MIN,6,standard,3-PT Made (Combo),183561
SAS/UTA,48.5,standard,Points (Combo),182521
SAS/UTA,20.5,standard,Rebounds (Combo),182522
SAS/UTA,13.5,standard,Assists (Combo),220341
SAS/UTA,6,standard,3-PT Made (Combo),182521
LAL/PHX,48,standard,Points (Combo),178503
LAL/PHX,44,standard,Points (Combo),220342
LAL/PHX,20.5,standard,Rebounds (Combo),180121
LAL/PHX,15,standard,Assists (Combo),178503
LAL/PHX,4.5,standard,3-PT Made (Combo),178503
WAS,22.5,standard,Pts+Rebs+Asts,56418
WAS,18.5,standard,Pts+Asts,56418
WAS,17.5,standard,Pts+Rebs,56418
WAS,26.5,standard,Fantasy Score,56418
WAS,3.5,standard,Rebounds,56418
WAS,13.5,standard,Points,56418
WAS,8,standard,Rebs+Asts,56418
WAS,1.5,standard,Free Throws Made,56418
WAS,11,standard,FG Attempted,56418
CHI,29.5,standard,Fantasy Score,217304
CHI,2.5,standard,Blks+Stls,217304
CHI,6.5,standard,Rebounds,217304
CHI,11.5,standard,Points,217304
CHI,21.5,standard,Pts+Rebs+Asts,217304
CHI,18.5,standard,Pts+Rebs,217304
CHI,2.5,standard,Assists,217304
CHI,11,standard,FG Attempted,217304
CHI,9.5,standard,Rebs+Asts,217304
CHI,14.5,standard,Pts+Asts,217304
WAS,32,standard,Fantasy Score,10731
WAS,20,standard,Points,10731
WAS,28,standard,Pts+Rebs+Asts,10731
WAS,9,standard,3-PT Attempted,10731
WAS,23.5,standard,Pts+Rebs,10731
WAS,3.5,standard,3-PT Made,10731
WAS,24.5,standard,Pts+Asts,10731
WAS,8,standard,Rebs+Asts,10731
WAS,15.5,standard,FG Attempted,10731
CHI,19.5,standard,Pts+Rebs,175142
CHI,6,standard,Rebounds,175142
CHI,23,standard,Pts+Rebs+Asts,175142
CHI,29.5,standard,Fantasy Score,175142
CHI,13.5,standard,Points,175142
CHI,9,standard,Rebs+Asts,175142
CHI,17,standard,Pts+Asts,175142
WAS,12.5,standard,Points,216747
WAS,30.5,standard,Fantasy Score,216747
WAS,3.5,standard,3-PT Attempted,216747
WAS,26,standard,Pts+Rebs+Asts,216747
WAS,6.5,standard,Rebounds,216747
WAS,19.5,standard,Pts+Asts,216747
WAS,10,standard,FG Attempted,216747
WAS,6.5,standard,Assists,216747
WAS,40.5,standard,Fantasy Score,37560
WAS,34.5,standard,Pts+Rebs+Asts,37560
WAS,31.5,standard,Pts+Rebs,37560
WAS,23.5,standard,Pts+Asts,37560
WAS,14,standard,Rebs+Asts,37560
WAS,11,standard,Rebounds,37560
WAS,15.5,standard,FG Attempted,37560
WAS,4.5,standard,3-PT Attempted,37560
WAS,20.5,standard,Points,37560
CHI,29.5,standard,Pts+Rebs,58812
CHI,22.5,standard,Points,58812
CHI,18.5,standard,FG Attempted,58812
CHI,36,standard,Fantasy Score,58812
CHI,33,standard,Pts+Rebs+Asts,58812
CHI,26.5,standard,Pts+Asts,58812
CHI,6,standard,3-PT Attempted,58812
CHI,6.5,standard,Rebounds,58812
WAS,4,standard,Free Throws Made,1544
WAS,27.5,standard,Pts+Asts,1544
WAS,7,standard,3-PT Attempted,1544
WAS,28.5,standard,Pts+Rebs,1544
WAS,16.5,standard,FG Attempted,1544
WAS,32.5,standard,Pts+Rebs+Asts,1544
WAS,4,standard,Assists,1544
WAS,36,standard,Fantasy Score,1544
WAS,5,standard,Rebounds,1544
WAS,9,standard,Rebs+Asts,1544
WAS,23.5,standard,Points,1544
CHI,3.5,standard,Rebounds,220113
CHI,21,standard,Pts+Asts,220113
CHI,12,standard,FG Attempted,220113
CHI,29.5,standard,Fantasy Score,220113
CHI,4,standard,3-PT Attempted,220113
CHI,9,standard,Rebs+Asts,220113
