PlayerID,Player,Team,TeamID,Position
barlodo01,Dominick Barlow,Atlanta Hawks,ATL,SF
bogdabo01,Bogdan Bogdanovic,Atlanta Hawks,ATL,SG
capelca01,Clint Capela,Atlanta Hawks,ATL,C
daniedy01,Dyson Daniels,Atlanta Hawks,ATL,PG
gueyemo02,Mouhamed Gueye,Atlanta Hawks,ATL,PF
huntede01,De'Andre Hunter,Atlanta Hawks,ATL,SF
johnsja05,Jalen Johnson,Atlanta Hawks,ATL,SF
krejcvi01,Vit Krejci,Atlanta Hawks,ATL,PG
mathega01,Garrison Mathews,Atlanta Hawks,ATL,SG
nancela02,Larry Nance Jr.,Atlanta Hawks,ATL,PF
okongon01,Onyeka Okongwu,Atlanta Hawks,ATL,C
risacza01,Zaccharie Risacher,Atlanta Hawks,ATL,SF
roddyda01,David Roddy,Atlanta Hawks,ATL,PF
wallake01,Keaton Wallace,Atlanta Hawks,ATL,PG
youngtr01,Trae Young,Atlanta Hawks,ATL,PG
bufkiko01,Kobe Bufkin,Atlanta Hawks,ATL,SG
brownja02,Jaylen Brown,Boston Celtics,BOS,SF
davisjd01,JD Davison,Boston Celtics,BOS,PG
hausesa01,Sam Hauser,Boston Celtics,BOS,PF
holidjr01,Jrue Holiday,Boston Celtics,BOS,PG
horfoal01,Al Horford,Boston Celtics,BOS,C
kornelu01,Luke Kornet,Boston Celtics,BOS,C
peterdr01,Drew Peterson,Boston Celtics,BOS,PF
pritcpa01,Payton Pritchard,Boston Celtics,BOS,SG
quetane01,Neemias Queta,Boston Celtics,BOS,C
scheiba01,Baylor Scheierman,Boston Celtics,BOS,SG
sprinja01,Jaden Springer,Boston Celtics,BOS,PG
tatumja01,Jayson Tatum,Boston Celtics,BOS,SF
tillmxa01,Xavier Tillman Sr.,Boston Celtics,BOS,PF
walshjo01,Jordan Walsh,Boston Celtics,BOS,SF
whitede01,Derrick White,Boston Celtics,BOS,SG
claxtni01,Nic Claxton,Brooklyn Nets,BRK,C
clownno01,Noah Clowney,Brooklyn Nets,BRK,PF
cuiyo01,Yongxi Cui,Brooklyn Nets,BRK,SG
finnedo01,Dorian Finney-Smith,Brooklyn Nets,BRK,PF
johnsca02,Cameron Johnson,Brooklyn Nets,BRK,PF
johnske07,Keon Johnson,Brooklyn Nets,BRK,SG
martija02,Jaylen Martin,Brooklyn Nets,BRK,SF
martity01,Tyrese Martin,Brooklyn Nets,BRK,SG
miltosh01,Shake Milton,Brooklyn Nets,BRK,SG
schrode01,Dennis Schroder,Brooklyn Nets,BRK,PG
simmobe01,Ben Simmons,Brooklyn Nets,BRK,PG
thomaca02,Cam Thomas,Brooklyn Nets,BRK,SG
whiteda01,Dariq Whitehead,Brooklyn Nets,BRK,SF
willizi02,Ziaire Williams,Brooklyn Nets,BRK,SF
wilsoja03,Jalen Wilson,Brooklyn Nets,BRK,PF
balllo01,Lonzo Ball,Chicago Bulls,CHI,PG
buzelma01,Matas Buzelis,Chicago Bulls,CHI,SF
carteje01,Jevon Carter,Chicago Bulls,CHI,PG
craigto01,Torrey Craig,Chicago Bulls,CHI,SF
dosunay01,Ayo Dosunmu,Chicago Bulls,CHI,SG
duartch01,Chris Duarte,Chicago Bulls,CHI,SG
giddejo01,Josh Giddey,Chicago Bulls,CHI,SG
hortota01,Talen Horton-Tucker,Chicago Bulls,CHI,SG
lavinza01,Zach LaVine,Chicago Bulls,CHI,SG
phillju01,Julian Phillips,Chicago Bulls,CHI,SF
sanogad01,Adama Sanogo,Chicago Bulls,CHI,C
smithja04,Jalen Smith,Chicago Bulls,CHI,PF
terryda01,Dalen Terry,Chicago Bulls,CHI,SG
vucevni01,Nikola Vucevic,Chicago Bulls,CHI,C
whiteco01,Coby White,Chicago Bulls,CHI,PG
willipa01,Patrick Williams,Chicago Bulls,CHI,PF
ballla01,LaMelo Ball,Charlotte Hornets,CHO,PG
bridgmi02,Miles Bridges,Charlotte Hornets,CHO,SF
curryse01,Seth Curry,Charlotte Hornets,CHO,SG
diabamo01,Moussa Diabate,Charlotte Hornets,CHO,PF
gibsota01,Taj Gibson,Charlotte Hornets,CHO,PF
greenjo02,Josh Green,Charlotte Hornets,CHO,SG
manntr01,Tre Mann,Charlotte Hornets,CHO,PG
martico01,Cody Martin,Charlotte Hornets,CHO,SF
micicva01,Vasilije Micic,Charlotte Hornets,CHO,PG
millebr02,Brandon Miller,Charlotte Hornets,CHO,SF
rhodeja01,Jared Rhoden,Charlotte Hornets,CHO,SG
richani01,Nick Richards,Charlotte Hornets,CHO,C
salauti01,Tidjane Salaun,Charlotte Hornets,CHO,PF
simpskj01,KJ Simpson,Charlotte Hornets,CHO,PG
smithni01,Nick Smith Jr.,Charlotte Hornets,CHO,SG
willigr01,Grant Williams,Charlotte Hornets,CHO,PF
