Conference,Rk,TeamID,Team,GP,W,L,GB,PTS,REB,AST,STL,BLK,TOV,OffREB,DefREB,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PF
Eastern,1,CLE,Cleveland Cavaliers,23,20,3,0,2806,994,649,210,111,308,207,787,1041,2046,0.509,358,884,0.405,683,1162,0.588,366,472,0.775,427
Eastern,2,BOS,Boston Celtics,22,18,4,1.5,2651,965,564,166,122,264,229,736,917,1993,0.46,421,1121,0.376,496,872,0.569,396,489,0.81,368
Eastern,3,ORL,Orlando Magic,24,16,8,4.5,2589,1013,587,230,166,357,259,754,926,2047,0.452,282,905,0.312,644,1142,0.564,455,576,0.79,480
Eastern,4,NYK,New York Knicks,22,14,8,5.5,2602,937,615,156,91,281,206,731,960,1924,0.499,319,795,0.401,641,1129,0.568,363,434,0.836,392
Eastern,5,ATL,Atlanta Hawks,23,12,11,8.0,2682,1055,684,235,124,377,285,770,984,2119,0.464,282,824,0.342,702,1295,0.542,432,548,0.788,434
Eastern,6,MIL,Milwaukee Bucks,21,11,10,8.0,2385,906,504,152,120,297,175,731,864,1792,0.482,307,786,0.391,557,1006,0.554,350,483,0.725,394
Eastern,7,MIA,Miami Heat,20,10,10,8.5,2226,870,525,185,72,256,206,664,790,1768,0.447,301,793,0.38,489,975,0.502,345,445,0.775,325
Eastern,8,CHI,Chicago Bulls,23,10,13,10.0,2755,1031,672,162,107,359,209,822,1005,2089,0.481,378,984,0.384,627,1105,0.567,367,464,0.791,428
Eastern,9,BRK,Brooklyn Nets,23,10,13,10.0,2529,882,595,158,88,338,195,687,890,1935,0.46,350,916,0.382,540,1019,0.53,399,497,0.803,513
Eastern,10,IND,Indiana Pacers,23,9,14,11.0,2609,918,621,192,118,347,202,716,967,2006,0.482,280,765,0.366,687,1241,0.554,395,504,0.784,473
Eastern,11,DET,Detroit Pistons,24,9,15,11.5,2643,1091,605,150,133,398,273,818,972,2106,0.462,315,881,0.358,657,1225,0.536,384,504,0.762,481
Eastern,12,TOR,Toronto Raptors,23,7,16,13.0,2582,1067,654,176,112,383,309,758,969,2087,0.464,253,750,0.337,716,1337,0.536,391,531,0.736,518
Eastern,13,CHO,Charlotte Hornets,22,6,16,13.5,2355,1002,507,169,110,353,292,710,846,1986,0.426,352,967,0.364,494,1019,0.485,311,398,0.781,464
Eastern,14,PHI,Philadelphia 76ers,20,5,15,13.5,2104,788,431,186,84,288,214,574,752,1721,0.437,238,730,0.326,514,991,0.519,362,467,0.775,420
Eastern,15,WAS,Washington Wizards,20,2,18,16.5,2134,846,485,158,107,317,193,653,788,1800,0.438,224,716,0.313,564,1084,0.52,334,431,0.775,435
Western,1,OKC,Oklahoma City Thunder,22,17,5,0,2542,953,568,265,145,249,229,724,946,2044,0.463,304,878,0.346,642,1166,0.551,346,430,0.805,462
Western,2,HOU,Houston Rockets,23,15,8,2.5,2610,1148,517,205,132,302,328,820,955,2183,0.437,272,829,0.328,683,1354,0.504,428,559,0.766,476
Western,3,DAL,Dallas Mavericks,23,15,8,2.5,2734,1051,595,189,128,322,266,785,1009,2068,0.488,302,807,0.374,707,1261,0.561,414,539,0.768,471
Western,4,MEM,Memphis Grizzlies,23,15,8,2.5,2786,1093,698,199,159,392,280,813,1026,2108,0.487,299,858,0.348,727,1250,0.582,435,560,0.777,493
Western,5,LAC,Los Angeles Clippers,24,14,10,4.0,2611,1083,594,223,104,402,277,806,955,2060,0.464,302,810,0.373,653,1250,0.522,399,513,0.778,448
Western,6,GSW,Golden State Warriors,21,13,8,3.5,2421,1033,623,189,110,296,277,756,887,1947,0.456,322,867,0.371,565,1080,0.523,325,464,0.7,444
Western,7,PHO,Phoenix Suns,21,12,9,4.5,2378,915,564,161,103,294,192,723,842,1795,0.469,314,838,0.375,528,957,0.552,380,487,0.78,379
Western,8,LAL,Los Angeles Lakers,22,12,10,5.0,2452,886,583,164,96,285,202,684,892,1886,0.473,252,730,0.345,640,1156,0.554,416,533,0.78,348
Western,9,DEN,Denver Nuggets,20,11,9,5.0,2357,888,602,174,95,285,221,667,867,1785,0.486,240,620,0.387,627,1165,0.538,383,504,0.76,362
Western,10,MIN,Minnesota Timberwolves,21,11,10,5.5,2329,885,523,179,96,336,197,688,830,1782,0.466,317,850,0.373,513,932,0.55,352,445,0.791,396
Western,11,SAS,San Antonio Spurs,22,11,11,6.0,2439,978,615,170,139,327,241,737,870,1912,0.455,305,879,0.347,565,1033,0.547,394,493,0.799,359
Western,12,SAC,Sacramento Kings,23,10,13,7.5,2629,992,574,187,109,321,231,761,971,2030,0.478,264,795,0.332,707,1235,0.572,423,534,0.792,469
Western,13,POR,Portland Trail Blazers,22,8,14,9.0,2357,948,490,194,134,376,293,655,863,1970,0.438,259,765,0.339,604,1205,0.501,372,486,0.765,431
Western,14,NOP,New Orleans Pelicans,23,5,18,12.5,2399,998,544,211,122,349,295,703,896,2054,0.436,247,753,0.328,649,1301,0.499,360,479,0.752,405
Western,15,UTA,Utah Jazz,21,4,17,12.5,2273,928,506,146,98,389,256,672,808,1789,0.452,267,780,0.342,541,1009,0.536,390,498,0.783,393
